,wl [10^-6m],omega [10^9Hz],Energy [eV],Brechungsindex Luft,Brechungsindex Gold,Brechungsindex Al2O3,Brechungsindex BK7,dielectric constant air,dielectric constant Gold
96,0.52099329,3.615500628249652,2.3800690408124066,(1+0j),(0.5679976725019777+2.1930081019323504j),(1.7725905090439105+0j),(1.5201010511894673+0j),(1+0j),(1.1902454998346041+0.9212419211990676j)
97,0.52161804,3.6111702871872553,2.3772183952840282,(1+0j),(0.5625331767999282+2.2024029143785997j),(1.7725422115585847+0j),(1.5200643379250627+0j),(1+0j),(1.1907228181006435+0.9248176321554484j)
98,0.52224286,3.606849823296489,2.3743742518566937,(1+0j),(0.5570680688294524+2.2117987794648992j),(1.7724940747543962+0j),(1.5200277492664602+0j),(1+0j),(1.191205359752525+0.9283868483954791j)
99,0.52286761,3.602540167498333,2.3715372233518153,(1+0j),(0.5516035731274018+2.2211935919111503j),(1.772446108559424+0j),(1.519991292738603+0j),(1+0j),(1.1916929558626717+0.9319487796683411j)
100,0.52349243,3.5982403170736457,2.368706649683549,(1+0j),(0.5461384651569261+2.23058945699745j),(1.7723983013726106+0j),(1.5199549595029573+0j),(1+0j),(1.1921856554766317+0.9355042340723635j)
101,0.52411719,3.5939511301067095,2.3658830957252137,(1+0j),(0.5406738819879581+2.23998441982085j),(1.7723506622978575+0j),(1.5199187564574859+0j),(1+0j),(1.1926832965862642+0.9390524820093499j)
102,0.52474194,3.5896722249966397,2.3630663102705305,(1+0j),(0.5352093862859085+2.249379232267099j),(1.7723031866537344+0j),(1.5198826800233045+0j),(1+0j),(1.193185859157393+0.9425938193130999j)
103,0.5253667000000001,3.5854034283270195,2.360256179160194,(1+0j),(0.5297448031169395+2.258774195090501j),(1.7722558720844084+0j),(1.519846728389552+0j),(1+0j),(1.19369330084618+0.9461283704488042j)
104,0.52599146,3.581144772405341,2.3574527236620915,(1+0j),(0.5242802199479725+2.268169157913899j),(1.7722087185203788+0j),(1.5198109014829628+0j),(1+0j),(1.1942055558010742+0.9496560901495761j)
105,0.52661621,3.5768962890619207,2.354655964729988,(1+0j),(0.5188157242459219+2.27756397036015j),(1.7721617258870954+0j),(1.5197751992264887+0j),(1+0j),(1.1947225584459686+0.9531769339497044j)
106,0.52724103,3.5726573998022366,2.351865521543344,(1+0j),(0.5133506162754462+2.2869598354464493j),(1.772114887369801+0j),(1.5197396164228287+0j),(1+0j),(1.195244318977339+0.9566913639059131j)
