X,CH1,
Second,Volt,
-6.0059080e+00,6.80000e-03,
-6.0051756e+00,6.60000e-03,
-6.0044432e+00,6.60000e-03,
-6.0037107e+00,6.60000e-03,
-6.0029783e+00,6.60000e-03,
-6.0022459e+00,6.60000e-03,
-6.0015135e+00,6.60000e-03,
-6.0007811e+00,6.80000e-03,
-6.0000486e+00,6.80000e-03,
-5.9993162e+00,6.60000e-03,
-5.9985838e+00,6.80000e-03,
-5.9978514e+00,6.60000e-03,
-5.9971189e+00,6.80000e-03,
-5.9963865e+00,6.60000e-03,
-5.9956541e+00,6.60000e-03,
-5.9949217e+00,6.60000e-03,
-5.9941893e+00,6.60000e-03,
-5.9934568e+00,6.60000e-03,
-5.9927244e+00,6.80000e-03,
-5.9919920e+00,6.60000e-03,
-5.9912596e+00,6.80000e-03,
-5.9905272e+00,6.80000e-03,
-5.9897947e+00,6.80000e-03,
-5.9890623e+00,6.60000e-03,
-5.9883299e+00,6.60000e-03,
-5.9875975e+00,6.60000e-03,
-5.9868650e+00,6.80000e-03,
-5.9861326e+00,6.80000e-03,
-5.9854002e+00,6.80000e-03,
-5.9846678e+00,6.60000e-03,
-5.9839354e+00,6.60000e-03,
-5.9832029e+00,6.60000e-03,
-5.9824705e+00,6.80000e-03,
-5.9817381e+00,6.60000e-03,
-5.9810057e+00,6.60000e-03,
-5.9802732e+00,6.80000e-03,
-5.9795408e+00,6.80000e-03,
-5.9788084e+00,6.80000e-03,
-5.9780760e+00,6.80000e-03,
-5.9773436e+00,6.80000e-03,
-5.9766111e+00,6.80000e-03,
-5.9758787e+00,6.80000e-03,
-5.9751463e+00,6.80000e-03,
-5.9744139e+00,6.80000e-03,
-5.9736814e+00,6.80000e-03,
-5.9729490e+00,6.80000e-03,
-5.9722166e+00,6.80000e-03,
-5.9714842e+00,6.80000e-03,
-5.9707518e+00,6.80000e-03,
-5.9700193e+00,6.60000e-03,
-5.9692869e+00,6.80000e-03,
-5.9685545e+00,6.80000e-03,
-5.9678221e+00,6.80000e-03,
-5.9670897e+00,6.80000e-03,
-5.9663572e+00,6.80000e-03,
-5.9656248e+00,6.60000e-03,
-5.9648924e+00,6.80000e-03,
-5.9641600e+00,6.80000e-03,
-5.9634275e+00,6.60000e-03,
-5.9626951e+00,6.80000e-03,
-5.9619627e+00,6.80000e-03,
-5.9612303e+00,6.60000e-03,
-5.9604979e+00,6.80000e-03,
