,pe-1-0-4_0Grad,1-4-0_mit triton,Time,AF
401,59,53,9.79960899315738,12
402,69,54,9.824046920821115,11
403,79,52,9.848484848484848,7
404,57,39,9.872922776148583,12
405,65,57,9.897360703812316,8
406,69,59,9.921798631476051,9
407,68,61,9.946236559139784,6
408,68,55,9.970674486803519,6
409,71,52,9.995112414467252,6
410,62,58,10.019550342130987,6
411,70,58,10.04398826979472,6
412,72,65,10.068426197458455,7
413,63,66,10.092864125122189,7
414,77,59,10.117302052785924,8
415,57,53,10.141739980449657,2
416,75,55,10.166177908113392,4
417,70,44,10.190615835777125,8
418,52,47,10.21505376344086,10
419,84,56,10.239491691104593,9
420,51,42,10.263929618768328,7
421,69,60,10.288367546432061,8
422,47,35,10.312805474095796,5
423,58,54,10.33724340175953,9
424,68,49,10.361681329423265,9
425,56,50,10.386119257086998,8
426,58,39,10.410557184750733,13
427,67,56,10.434995112414468,6
428,54,45,10.459433040078201,4
429,70,55,10.483870967741936,10
430,71,53,10.50830889540567,9
431,56,48,10.532746823069404,15
432,69,42,10.557184750733137,9
433,65,53,10.581622678396872,11
434,62,52,10.606060606060606,8
435,62,45,10.63049853372434,10
436,61,43,10.654936461388074,9
437,68,52,10.679374389051809,10
438,66,55,10.703812316715542,8
439,67,45,10.728250244379277,8
440,62,35,10.75268817204301,12
441,56,45,10.777126099706745,8
442,46,39,10.801564027370478,12
443,56,39,10.826001955034213,4
444,53,37,10.850439882697946,5
445,58,43,10.874877810361681,8
446,58,46,10.899315738025415,7
447,57,42,10.92375366568915,7
448,50,48,10.948191593352883,11
449,53,42,10.972629521016618,8
450,54,49,10.997067448680351,10
451,44,47,11.021505376344086,6
452,50,60,11.04594330400782,11
453,57,46,11.070381231671554,10
454,54,37,11.094819159335287,5
455,46,48,11.119257086999022,11
456,46,54,11.143695014662756,9
457,62,47,11.16813294232649,12
458,43,47,11.192570869990224,10
459,50,37,11.217008797653959,7
460,42,42,11.241446725317692,12
461,54,47,11.265884652981427,8
462,44,49,11.29032258064516,9
463,59,44,11.314760508308895,7
464,59,42,11.339198435972628,8
465,49,49,11.363636363636363,9
466,51,38,11.388074291300097,8
467,62,36,11.412512218963832,7
468,53,48,11.436950146627565,6
469,57,33,11.4613880742913,6
470,46,34,11.485826001955035,8
471,64,36,11.510263929618768,7
472,47,48,11.534701857282503,11
473,59,47,11.559139784946236,14
474,44,45,11.583577712609971,9
475,51,47,11.608015640273704,8
476,50,52,11.63245356793744,9
477,58,56,11.656891495601172,6
478,58,52,11.681329423264907,9
479,56,25,11.70576735092864,10
480,55,46,11.730205278592376,7
481,47,43,11.754643206256109,10
482,43,54,11.779081133919844,7
483,52,38,11.803519061583577,9
484,54,43,11.827956989247312,14
485,57,36,11.852394916911045,7
486,42,41,11.87683284457478,9
487,62,46,11.901270772238513,2
488,64,28,11.925708699902248,12
489,46,50,11.950146627565982,7
490,50,35,11.974584555229717,9
491,64,36,11.99902248289345,6
492,45,40,12.023460410557185,19
493,38,31,12.047898338220918,4
494,44,50,12.072336265884653,12
495,71,35,12.096774193548386,7
496,52,47,12.121212121212121,8
497,46,49,12.145650048875854,7
498,56,44,12.17008797653959,6
499,43,36,12.194525904203322,6
500,50,39,12.218963831867057,6
501,45,35,12.24340175953079,6
502,65,31,12.267839687194526,7
503,48,39,12.292277614858259,6
504,49,44,12.316715542521994,10
505,54,41,12.341153470185727,8
506,42,46,12.365591397849462,6
507,43,40,12.390029325513195,12
508,58,27,12.41446725317693,8
509,47,29,12.438905180840663,7
510,49,37,12.463343108504398,4
511,47,39,12.487781036168132,7
512,49,28,12.512218963831867,6
513,54,56,12.536656891495602,9
514,39,27,12.561094819159335,10
515,52,34,12.58553274682307,9
516,37,45,12.609970674486803,7
517,39,31,12.634408602150538,8
518,52,38,12.658846529814271,9
519,43,34,12.683284457478006,4
520,58,21,12.70772238514174,4
521,45,27,12.732160312805474,13
522,43,34,12.756598240469208,5
523,44,35,12.781036168132943,3
524,54,36,12.805474095796676,7
525,50,35,12.82991202346041,10
526,47,40,12.854349951124144,10
527,46,23,12.878787878787879,8
528,52,40,12.903225806451612,3
529,46,53,12.927663734115347,7
530,52,40,12.95210166177908,7
531,50,39,12.976539589442815,10
532,46,26,13.000977517106548,9
533,58,31,13.025415444770283,4
534,39,23,13.049853372434017,6
535,50,37,13.074291300097752,4
536,33,41,13.098729227761485,9
537,44,36,13.12316715542522,10
538,35,31,13.147605083088953,12
539,43,29,13.172043010752688,9
540,39,46,13.196480938416421,10
541,47,42,13.220918866080156,5
542,57,30,13.24535679374389,8
543,39,38,13.269794721407624,10
544,50,27,13.294232649071358,2
545,44,38,13.318670576735093,7
546,40,41,13.343108504398826,6
547,41,34,13.36754643206256,5
548,41,35,13.391984359726294,6
549,33,26,13.416422287390029,9
550,41,26,13.440860215053762,5
551,42,39,13.465298142717497,11
552,41,35,13.48973607038123,10
553,31,30,13.514173998044965,5
554,50,37,13.538611925708699,10
555,30,31,13.563049853372434,10
556,39,33,13.587487781036168,14
557,44,30,13.611925708699902,12
558,44,33,13.636363636363637,11
559,37,37,13.66080156402737,5
560,43,34,13.685239491691105,5
561,40,35,13.709677419354838,9
562,36,32,13.734115347018573,10
563,34,32,13.758553274682306,11
564,29,32,13.782991202346041,11
565,37,36,13.807429130009774,13
566,36,26,13.83186705767351,11
567,53,29,13.856304985337243,7
568,36,28,13.880742913000978,10
569,35,35,13.90518084066471,13
570,48,29,13.929618768328446,7
571,37,37,13.954056695992179,7
572,36,28,13.978494623655914,7
573,38,37,14.002932551319647,9
574,50,31,14.027370478983382,4
575,32,38,14.051808406647115,8
576,33,23,14.07624633431085,6
577,34,31,14.100684261974584,10
578,34,34,14.125122189638319,7
579,43,34,14.149560117302052,9
580,37,21,14.173998044965787,5
581,31,34,14.19843597262952,10
582,29,27,14.222873900293255,11
583,34,44,14.247311827956988,7
584,33,27,14.271749755620723,5
585,38,22,14.296187683284456,9
586,39,32,14.320625610948191,7
