856,724,31,118,66,3.0303030303030303
786,617,22,106,59,3.0547409579667644
697,612,23,111,53,3.0791788856304985
587,537,16,89,49,3.1036168132942326
611,487,27,85,57,3.1280547409579667
564,460,23,69,39,3.1524926686217007
503,462,15,74,42,3.176930596285435
490,430,16,77,32,3.201368523949169
446,403,21,65,34,3.225806451612903
438,383,18,62,40,3.250244379276637
443,399,11,80,33,3.274682306940371
459,383,15,80,25,3.2991202346041053
447,370,22,72,39,3.3235581622678394
436,340,14,58,23,3.3479960899315735
485,353,8,79,35,3.3724340175953076
493,371,20,75,41,3.396871945259042
507,426,18,97,51,3.421309872922776
563,436,15,84,37,3.4457478005865103
575,460,15,105,33,3.4701857282502444
659,490,14,109,43,3.4946236559139785
707,568,11,129,56,3.5190615835777126
729,577,22,116,44,3.5434995112414467
757,636,23,132,55,3.567937438905181
813,627,27,126,55,3.592375366568915
839,668,25,126,62,3.616813294232649
832,646,23,121,46,3.641251221896383
715,661,23,106,62,3.665689149560117
716,639,22,103,55,3.6901270772238512
661,580,12,96,48,3.7145650048875853
556,489,21,66,42,3.7390029325513194
504,490,15,63,36,3.7634408602150535
449,392,17,63,29,3.7878787878787876
379,337,18,43,33,3.8123167155425217
340,280,22,44,21,3.836754643206256
304,271,10,36,27,3.86119257086999
270,261,13,35,28,3.885630498533724
238,219,8,44,20,3.9100684261974585
245,218,13,47,25,3.9345063538611926
241,206,10,52,18,3.9589442815249267
240,194,9,39,29,3.983382209188661
206,206,16,38,21,4.007820136852395
204,182,7,35,17,4.032258064516129
202,182,11,36,40,4.056695992179863
226,198,3,35,21,4.081133919843597
163,147,9,24,13,4.105571847507331
169,124,10,21,24,4.130009775171065
132,111,13,35,18,4.1544477028347995
117,107,13,28,18,4.178885630498534
129,114,8,26,10,4.203323558162268
106,90,8,14,10,4.227761485826002
103,97,19,12,12,4.252199413489736
102,82,16,22,14,4.27663734115347
93,84,7,20,9,4.301075268817204
95,75,5,20,16,4.325513196480938
76,63,5,23,19,4.349951124144672
100,62,7,21,13,4.374389051808406
90,70,7,16,6,4.39882697947214
84,78,12,17,9,4.4232649071358745
72,77,9,14,16,4.447702834799609
100,66,8,20,13,4.472140762463343
88,81,3,16,9,4.496578690127077
76,71,9,12,16,4.521016617790811
74,63,8,22,12,4.545454545454545
90,67,10,13,8,4.569892473118279
68,67,11,12,15,4.594330400782013
76,74,8,14,11,4.618768328445747
89,68,9,15,10,4.643206256109481
73,68,8,22,19,4.667644183773215
75,59,7,21,8,4.6920821114369495
81,70,10,14,10,4.7165200391006845
73,61,8,11,7,4.740957966764419
66,53,11,15,9,4.765395894428153
61,64,9,21,6,4.789833822091887
60,57,12,14,10,4.814271749755621
77,57,10,14,14,4.838709677419355
63,53,8,12,10,4.863147605083089
61,39,6,12,11,4.887585532746823
51,50,14,14,14,4.912023460410557
60,54,10,13,9,4.936461388074291
58,53,4,23,15,4.9608993157380255
62,49,3,18,7,4.9853372434017595
51,40,6,19,15,5.009775171065494
47,49,9,9,8,5.034213098729228
55,47,14,18,10,5.058651026392962
63,44,11,11,8,5.083088954056696
49,36,6,13,10,5.10752688172043
52,44,6,8,12,5.131964809384164
38,49,9,13,3,5.156402737047898
50,37,18,7,11,5.180840664711632
58,38,9,15,12,5.205278592375366
56,43,12,12,13,5.2297165200391005
52,39,11,14,12,5.254154447702835
49,36,8,17,4,5.278592375366569
45,46,6,23,7,5.303030303030303
45,33,8,8,10,5.327468230694037
37,37,8,12,14,5.351906158357771
46,40,6,10,11,5.376344086021505
36,45,8,10,7,5.400782013685239
37,46,13,8,10,5.425219941348973
36,39,4,14,4,5.449657869012707
49,36,9,8,13,5.474095796676441
43,37,12,16,10,5.4985337243401755
38,35,4,10,12,5.52297165200391
44,27,4,8,7,5.547409579667644
37,43,6,9,9,5.571847507331378
41,27,8,19,7,5.596285434995112
43,47,10,9,7,5.620723362658846
31,37,4,10,6,5.64516129032258
40,39,8,16,9,5.669599217986314
57,32,4,7,13,5.694037145650048
35,38,4,10,10,5.718475073313782
45,42,2,12,5,5.742913000977517
33,26,5,17,9,5.767350928641251
26,47,12,7,11,5.7917888563049855
42,32,1,12,10,5.81622678396872
32,26,7,12,10,5.840664711632454
44,38,6,13,8,5.865102639296188
38,27,10,8,13,5.889540566959922
31,41,8,12,2,5.913978494623656
38,39,4,11,6,5.93841642228739
37,33,9,15,3,5.962854349951124
35,30,6,1,7,5.987292277614858
30,39,8,13,5,6.011730205278592
41,36,4,8,7,6.0361681329423265
45,21,6,11,12,6.0606060606060606
31,26,13,10,6,6.085043988269795
34,35,5,11,16,6.109481915933529
23,19,7,10,11,6.133919843597263
26,37,5,11,5,6.158357771260997
28,30,7,13,12,6.182795698924731
33,26,4,7,9,6.207233626588465
29,38,6,7,8,6.231671554252199
34,23,9,12,11,6.256109481915933
34,26,9,12,11,6.280547409579667
32,26,10,12,7,6.3049853372434015
31,28,5,18,8,6.329423264907136
43,31,11,10,6,6.35386119257087
35,29,6,11,10,6.378299120234604
34,25,3,16,9,6.402737047898338
35,20,4,5,8,6.427174975562072
33,29,8,10,4,6.451612903225806
22,22,7,11,8,6.47605083088954
31,27,9,9,7,6.500488758553274
29,23,5,3,7,6.524926686217008
29,22,7,6,11,6.549364613880742
31,38,4,10,7,6.5738025415444765
35,26,9,9,10,6.598240469208211
18,18,4,14,11,6.622678396871945
21,28,8,9,6,6.647116324535679
32,26,6,13,7,6.671554252199413
28,23,9,8,7,6.695992179863147
28,28,4,12,5,6.720430107526881
31,28,6,15,13,6.744868035190615
28,26,13,6,5,6.769305962854349
21,24,9,10,12,6.793743890518084
30,30,6,18,5,6.818181818181818
22,19,6,7,9,6.842619745845552
24,23,3,9,6,6.8670576735092865
24,22,9,5,7,6.891495601173021
27,23,8,4,10,6.915933528836755
24,24,5,9,8,6.940371456500489
24,33,11,11,12,6.964809384164223
20,29,8,10,6,6.989247311827957
27,16,8,9,7,7.013685239491691
21,26,6,16,3,7.038123167155425
21,21,6,14,4,7.062561094819159
23,23,11,10,6,7.086999022482893
29,21,6,8,9,7.1114369501466275
30,23,2,8,10,7.135874877810362
19,20,6,8,6,7.160312805474096
28,19,5,12,9,7.18475073313783
23,23,9,13,7,7.209188660801564
31,24,4,11,6,7.233626588465298
35,22,5,11,6,7.258064516129032
28,25,5,11,9,7.282502443792766
21,16,5,7,5,7.3069403714565
20,35,10,13,7,7.331378299120234
17,16,11,11,10,7.355816226783968
26,22,6,8,12,7.3802541544477025
21,21,6,7,7,7.404692082111437
19,28,10,13,11,7.429130009775171
31,26,10,16,11,7.453567937438905
17,26,13,7,10,7.478005865102639
18,20,4,9,4,7.502443792766373
24,16,6,12,5,7.526881720430107
18,20,5,6,9,7.551319648093841
29,22,11,5,5,7.575757575757575
26,15,6,9,11,7.600195503421309
20,17,10,6,13,7.624633431085043
14,24,5,8,9,7.6490713587487775
18,17,3,6,6,7.673509286412512
22,21,6,1,10,7.697947214076246
22,27,5,6,9,7.72238514173998
18,15,2,7,7,7.746823069403714
22,20,6,6,9,7.771260997067448
21,12,5,4,12,7.795698924731182
