,pe-3-2,pe-1-2,pe-1-1,52,pe-1-4,Time,AF
120,130,212,176,155,262,2.932551319648094,238
121,129,226,159,160,237,2.956989247311828,190
122,106,193,155,134,263,2.981427174975562,150
123,126,192,128,150,238,3.005865102639296,129
124,105,200,133,122,269,3.0303030303030303,122
125,117,183,151,134,247,3.0547409579667644,108
126,108,204,136,135,250,3.0791788856304985,118
127,115,173,156,152,221,3.1036168132942326,82
128,109,196,130,126,201,3.1280547409579667,92
129,98,198,136,110,208,3.1524926686217007,73
130,107,202,149,130,211,3.176930596285435,77
131,102,202,164,119,199,3.201368523949169,90
132,102,188,135,110,214,3.225806451612903,71
133,112,182,153,121,220,3.250244379276637,71
134,96,167,133,125,245,3.274682306940371,64
135,108,164,128,123,200,3.2991202346041053,62
136,104,201,129,111,211,3.3235581622678394,68
137,92,192,130,147,194,3.3479960899315735,84
138,90,183,154,130,192,3.3724340175953076,91
139,94,172,159,128,183,3.396871945259042,87
140,101,171,129,126,202,3.421309872922776,81
141,92,191,113,113,227,3.4457478005865103,105
142,102,177,147,128,194,3.4701857282502444,109
143,83,163,131,123,192,3.4946236559139785,90
144,99,172,148,119,172,3.5190615835777126,124
145,95,154,137,113,196,3.5434995112414467,109
146,86,145,128,117,192,3.567937438905181,127
147,85,173,158,116,184,3.592375366568915,130
148,100,187,133,136,191,3.616813294232649,126
149,92,171,122,112,201,3.641251221896383,112
150,103,163,127,127,203,3.665689149560117,104
151,98,160,105,131,178,3.6901270772238512,108
152,84,165,132,103,205,3.7145650048875853,100
153,82,169,126,114,222,3.7390029325513194,91
154,94,168,117,126,186,3.7634408602150535,74
155,90,155,130,129,207,3.7878787878787876,56
156,80,158,117,106,195,3.8123167155425217,48
157,103,158,121,122,199,3.836754643206256,49
158,78,154,115,119,164,3.86119257086999,55
159,86,160,126,129,184,3.885630498533724,40
160,98,169,92,98,170,3.9100684261974585,52
161,82,167,119,110,198,3.9345063538611926,37
162,78,175,103,128,193,3.9589442815249267,51
163,81,158,116,108,190,3.983382209188661,40
164,83,144,124,95,188,4.007820136852395,41
165,89,186,123,111,179,4.032258064516129,27
166,101,158,138,101,190,4.056695992179863,36
167,81,147,100,104,188,4.081133919843597,30
168,82,163,122,112,168,4.105571847507331,29
169,91,143,124,101,165,4.130009775171065,22
170,74,133,110,104,161,4.1544477028347995,24
171,63,152,126,113,190,4.178885630498534,29
172,73,174,107,102,180,4.203323558162268,19
173,84,158,111,98,181,4.227761485826002,24
174,76,154,131,126,182,4.252199413489736,24
175,85,147,118,103,183,4.27663734115347,16
176,89,159,118,124,162,4.301075268817204,24
177,77,169,114,113,164,4.325513196480938,30
178,95,113,114,96,164,4.349951124144672,19
179,89,159,117,94,157,4.374389051808406,23
180,81,160,101,78,191,4.39882697947214,14
181,91,155,126,107,162,4.4232649071358745,22
182,84,145,118,95,160,4.447702834799609,21
183,81,134,121,88,168,4.472140762463343,20
184,76,136,113,108,166,4.496578690127077,18
185,72,132,112,109,164,4.521016617790811,21
186,76,153,99,90,155,4.545454545454545,19
187,73,136,109,89,156,4.569892473118279,26
188,86,162,125,98,176,4.594330400782013,22
189,94,111,93,94,157,4.618768328445747,8
190,76,147,104,107,152,4.643206256109481,15
191,82,138,102,104,167,4.667644183773215,16
192,57,112,116,109,148,4.6920821114369495,20
193,78,131,86,88,160,4.7165200391006845,17
194,69,146,106,89,151,4.740957966764419,17
195,82,146,99,82,156,4.765395894428153,23
196,69,142,99,92,172,4.789833822091887,19
197,76,144,111,97,154,4.814271749755621,14
198,66,150,95,108,158,4.838709677419355,19
199,83,146,101,110,162,4.863147605083089,13
200,92,174,92,101,157,4.887585532746823,15
201,80,144,95,86,136,4.912023460410557,15
202,68,141,103,87,163,4.936461388074291,16
203,80,130,95,90,146,4.9608993157380255,13
204,75,134,98,95,131,4.9853372434017595,19
205,82,141,105,92,162,5.009775171065494,10
206,84,125,93,85,155,5.034213098729228,7
207,66,156,91,99,163,5.058651026392962,19
208,86,114,95,94,161,5.083088954056696,10
209,65,134,89,92,136,5.10752688172043,11
210,75,135,105,97,120,5.131964809384164,17
211,82,117,92,83,153,5.156402737047898,15
212,76,135,106,100,129,5.180840664711632,15
213,60,135,105,76,145,5.205278592375366,11
214,77,115,110,80,147,5.2297165200391005,11
215,76,140,90,82,148,5.254154447702835,11
216,75,128,109,93,131,5.278592375366569,15
217,75,135,83,83,146,5.303030303030303,16
218,66,135,107,103,137,5.327468230694037,17
219,57,109,84,87,144,5.351906158357771,17
220,61,126,92,96,133,5.376344086021505,13
221,72,119,100,101,136,5.400782013685239,13
222,65,111,88,74,159,5.425219941348973,17
223,77,104,88,88,140,5.449657869012707,18
224,66,124,93,80,122,5.474095796676441,15
225,71,105,111,78,155,5.4985337243401755,12
226,57,128,85,83,132,5.52297165200391,10
227,69,139,111,84,135,5.547409579667644,14
228,67,107,89,74,130,5.571847507331378,13
229,71,112,96,92,142,5.596285434995112,13
230,60,127,108,80,136,5.620723362658846,23
231,64,110,91,91,123,5.64516129032258,7
232,55,105,99,83,130,5.669599217986314,9
233,71,105,99,82,135,5.694037145650048,19
234,57,110,88,80,135,5.718475073313782,11
235,76,117,80,66,141,5.742913000977517,5
236,69,134,79,82,141,5.767350928641251,12
237,50,97,93,73,144,5.7917888563049855,10
238,57,127,100,62,154,5.81622678396872,17
239,70,99,79,76,135,5.840664711632454,9
240,59,116,94,68,138,5.865102639296188,14
241,55,124,81,77,135,5.889540566959922,14
242,60,118,84,79,131,5.913978494623656,8
243,74,85,80,74,120,5.93841642228739,8
244,77,110,104,66,119,5.962854349951124,9
245,53,115,94,69,147,5.987292277614858,9
246,69,123,80,85,116,6.011730205278592,11
247,59,100,94,75,115,6.0361681329423265,11
248,70,109,77,79,129,6.0606060606060606,13
249,54,106,91,76,139,6.085043988269795,5
250,67,95,84,72,123,6.109481915933529,16
251,65,107,69,85,99,6.133919843597263,15
252,47,117,81,63,98,6.158357771260997,16
253,69,116,104,80,119,6.182795698924731,4
254,64,110,100,63,120,6.207233626588465,10
255,49,124,64,77,130,6.231671554252199,3
256,55,116,72,89,147,6.256109481915933,11
257,66,99,84,73,124,6.280547409579667,19
258,47,125,75,76,126,6.3049853372434015,11
259,64,128,84,77,136,6.329423264907136,9
260,49,111,91,70,115,6.35386119257087,10
261,52,87,73,76,120,6.378299120234604,8
262,56,90,68,81,126,6.402737047898338,17
263,71,105,79,62,121,6.427174975562072,8
264,41,84,66,74,113,6.451612903225806,7
265,75,91,101,68,116,6.47605083088954,10
266,54,100,74,74,117,6.500488758553274,8
267,62,100,79,69,102,6.524926686217008,10
268,64,100,79,63,93,6.549364613880742,10
269,60,118,75,75,135,6.5738025415444765,14
270,61,96,79,57,95,6.598240469208211,12
271,56,85,68,65,110,6.622678396871945,15
272,52,94,69,66,116,6.647116324535679,9
273,67,111,78,90,110,6.671554252199413,15
274,62,91,80,62,122,6.695992179863147,8
275,66,90,74,73,111,6.720430107526881,11
276,56,94,73,59,102,6.744868035190615,8
277,44,97,79,59,115,6.769305962854349,15
278,58,102,70,64,118,6.793743890518084,8
279,66,79,73,65,110,6.818181818181818,9
280,62,93,88,65,114,6.842619745845552,11
281,49,102,71,76,106,6.8670576735092865,12
282,57,108,80,70,117,6.891495601173021,12
283,52,98,87,58,117,6.915933528836755,7
284,45,109,63,68,99,6.940371456500489,13
285,70,114,68,64,106,6.964809384164223,9
286,61,104,77,60,97,6.989247311827957,7
287,39,105,84,66,101,7.013685239491691,14
288,51,87,70,54,126,7.038123167155425,5
289,52,79,72,69,121,7.062561094819159,11
290,61,92,64,65,95,7.086999022482893,16
291,56,102,68,77,105,7.1114369501466275,9
292,58,73,90,61,118,7.135874877810362,10
293,45,90,74,68,139,7.160312805474096,11
294,56,107,70,67,107,7.18475073313783,14
295,54,92,67,52,108,7.209188660801564,4
296,44,99,62,58,80,7.233626588465298,5
297,47,83,91,66,103,7.258064516129032,14
298,54,97,70,78,94,7.282502443792766,13
299,54,75,62,60,98,7.3069403714565,7
300,43,99,61,59,88,7.331378299120234,9
301,52,88,65,56,109,7.355816226783968,6
302,61,95,69,60,95,7.3802541544477025,10
303,51,96,78,56,107,7.404692082111437,9
304,50,94,72,69,112,7.429130009775171,9
305,54,86,51,66,84,7.453567937438905,5
306,40,93,69,67,108,7.478005865102639,4
307,50,84,63,72,120,7.502443792766373,9
308,42,80,81,48,98,7.526881720430107,8
309,42,86,70,49,96,7.551319648093841,13
310,62,83,62,55,101,7.575757575757575,12
311,34,83,62,51,107,7.600195503421309,12
312,59,91,63,54,91,7.624633431085043,11
313,47,87,69,59,95,7.6490713587487775,8
314,60,84,77,69,88,7.673509286412512,13
315,56,68,67,59,91,7.697947214076246,7
316,44,83,75,62,75,7.72238514173998,11
317,54,72,70,59,88,7.746823069403714,11
318,42,78,58,57,89,7.771260997067448,7
319,45,72,63,49,77,7.795698924731182,8
320,40,76,72,62,97,7.820136852394917,4
321,46,78,71,53,96,7.844574780058651,8
322,50,98,68,53,89,7.869012707722385,10
323,45,73,64,54,96,7.893450635386119,4
324,63,93,63,59,91,7.9178885630498534,7
325,41,79,63,61,83,7.9423264907135875,10
326,37,75,56,44,94,7.966764418377322,11
327,44,73,66,64,95,7.991202346041056,11
328,46,74,48,57,88,8.01564027370479,16
329,47,90,59,59,87,8.040078201368523,7
330,39,78,60,63,94,8.064516129032258,8
331,53,90,62,34,106,8.088954056695991,7
332,54,70,52,53,73,8.113391984359726,16
333,42,69,40,48,78,8.13782991202346,6
334,47,64,58,50,86,8.162267839687194,10
335,47,89,59,32,102,8.186705767350928,9
336,44,87,57,61,89,8.211143695014663,9
337,47,68,62,69,92,8.235581622678396,7
338,42,71,63,60,92,8.26001955034213,9
339,45,75,56,53,84,8.284457478005864,12
340,48,77,49,58,80,8.308895405669599,5
341,41,87,65,48,80,8.333333333333332,12
342,46,69,56,45,96,8.357771260997067,1
343,44,68,54,53,80,8.382209188660802,4
344,29,90,52,51,84,8.406647116324535,10
345,51,73,52,54,89,8.43108504398827,8
346,46,74,61,63,81,8.455522971652004,7
347,42,77,50,52,76,8.479960899315738,5
348,44,77,63,43,74,8.504398826979472,8
349,50,67,58,42,87,8.528836754643207,8
350,42,69,59,41,85,8.55327468230694,6
351,36,65,58,62,73,8.577712609970675,9
352,42,82,46,59,82,8.602150537634408,10
353,40,82,67,44,80,8.626588465298143,13
354,43,77,55,58,97,8.651026392961876,4
355,35,71,55,48,84,8.675464320625611,6
356,45,70,55,49,96,8.699902248289344,9
357,34,73,46,64,68,8.72434017595308,4
358,41,52,59,61,72,8.748778103616813,11
359,44,73,49,57,92,8.773216031280548,9
360,37,74,48,48,75,8.79765395894428,10
361,46,78,44,46,92,8.822091886608016,7
362,47,80,57,55,72,8.846529814271749,12
363,43,64,52,36,81,8.870967741935484,5
364,38,52,47,46,72,8.895405669599217,8
365,43,64,61,50,79,8.919843597262952,8
366,38,61,47,41,70,8.944281524926685,8
367,39,49,52,50,95,8.96871945259042,4
368,33,66,42,43,96,8.993157380254154,15
369,37,62,57,53,96,9.017595307917889,12
370,44,78,63,37,67,9.042033235581622,9
371,31,68,46,42,75,9.066471163245357,8
372,45,75,54,41,75,9.09090909090909,8
373,30,62,56,53,72,9.115347018572825,8
374,33,57,51,36,92,9.139784946236558,14
375,39,62,48,51,63,9.164222873900293,7
376,35,72,70,40,86,9.188660801564026,8
377,36,64,58,41,79,9.213098729227761,10
378,43,66,61,42,88,9.237536656891495,5
379,44,76,57,47,74,9.26197458455523,12
380,35,54,55,44,72,9.286412512218963,7
381,31,72,57,40,74,9.310850439882698,16
382,38,62,53,36,51,9.33528836754643,9
383,43,65,52,38,81,9.359726295210166,12
384,41,62,38,41,79,9.384164222873899,4
385,40,62,56,53,77,9.408602150537634,7
386,32,66,51,36,68,9.433040078201369,13
387,42,56,53,41,67,9.457478005865102,9
388,40,66,48,49,84,9.481915933528837,10
389,40,60,60,44,78,9.50635386119257,6
390,37,78,53,41,69,9.530791788856305,9
391,41,65,58,33,78,9.555229716520039,9
392,36,69,53,34,58,9.579667644183774,10
393,43,72,44,33,65,9.604105571847507,13
394,39,60,48,48,84,9.628543499511242,14
395,37,56,38,39,63,9.652981427174975,7
396,28,67,45,46,86,9.67741935483871,8
397,41,74,56,48,64,9.701857282502443,6
398,38,68,40,42,71,9.726295210166178,11
399,35,70,41,50,75,9.750733137829911,5
400,49,60,39,31,71,9.775171065493646,8
401,28,77,48,40,59,9.79960899315738,12
402,33,52,41,49,69,9.824046920821115,11
403,33,59,44,44,79,9.848484848484848,7
404,31,68,43,46,57,9.872922776148583,12
405,36,59,50,31,65,9.897360703812316,8
406,34,69,48,56,69,9.921798631476051,9
407,37,62,49,38,68,9.946236559139784,6
408,40,59,44,33,68,9.970674486803519,6
409,39,58,37,43,71,9.995112414467252,6
410,41,53,46,37,62,10.019550342130987,6
411,36,48,36,38,70,10.04398826979472,6
412,26,41,49,40,72,10.068426197458455,7
413,31,67,32,45,63,10.092864125122189,7
414,46,67,51,43,77,10.117302052785924,8
415,34,58,42,43,57,10.141739980449657,2
416,29,70,42,39,75,10.166177908113392,4
417,37,55,49,52,70,10.190615835777125,8
418,31,58,47,45,52,10.21505376344086,10
419,29,56,34,40,84,10.239491691104593,9
420,30,42,39,31,51,10.263929618768328,7
421,30,56,49,42,69,10.288367546432061,8
422,38,56,43,35,47,10.312805474095796,5
423,30,62,52,41,58,10.33724340175953,9
424,36,48,34,50,68,10.361681329423265,9
425,34,47,51,37,56,10.386119257086998,8
426,35,60,51,33,58,10.410557184750733,13
427,35,60,45,36,67,10.434995112414468,6
428,33,49,47,41,54,10.459433040078201,4
429,38,48,37,53,70,10.483870967741936,10
430,36,63,42,37,71,10.50830889540567,9
431,39,51,46,29,56,10.532746823069404,15
432,24,53,56,39,69,10.557184750733137,9
433,34,55,44,48,65,10.581622678396872,11
434,32,48,43,42,62,10.606060606060606,8
435,26,54,38,40,62,10.63049853372434,10
436,22,63,37,41,61,10.654936461388074,9
437,33,62,41,32,68,10.679374389051809,10
438,30,53,37,38,66,10.703812316715542,8
439,26,53,40,37,67,10.728250244379277,8
440,33,53,40,46,62,10.75268817204301,12
441,29,54,45,47,56,10.777126099706745,8
442,31,61,30,30,46,10.801564027370478,12
443,27,57,40,32,56,10.826001955034213,4
444,31,44,36,34,53,10.850439882697946,5
445,39,57,35,27,58,10.874877810361681,8
446,27,47,36,44,58,10.899315738025415,7
447,34,58,54,32,57,10.92375366568915,7
448,32,46,42,33,50,10.948191593352883,11
449,43,44,45,26,53,10.972629521016618,8
450,33,39,43,34,54,10.997067448680351,10
451,32,57,35,39,44,11.021505376344086,6
452,37,60,53,30,50,11.04594330400782,11
453,24,64,38,29,57,11.070381231671554,10
454,31,42,41,39,54,11.094819159335287,5
455,35,57,43,30,46,11.119257086999022,11
456,31,58,41,46,46,11.143695014662756,9
457,31,39,29,38,62,11.16813294232649,12
458,27,38,47,24,43,11.192570869990224,10
459,30,54,38,34,50,11.217008797653959,7
460,26,33,44,33,42,11.241446725317692,12
461,24,49,45,39,54,11.265884652981427,8
462,28,43,29,41,44,11.29032258064516,9
463,26,38,37,34,59,11.314760508308895,7
464,33,56,42,38,59,11.339198435972628,8
465,24,49,42,36,49,11.363636363636363,9
466,30,37,35,32,51,11.388074291300097,8
467,29,52,38,38,62,11.412512218963832,7
468,30,53,34,27,53,11.436950146627565,6
469,32,46,28,33,57,11.4613880742913,6
470,19,41,32,36,46,11.485826001955035,8
471,30,50,29,30,64,11.510263929618768,7
472,28,57,35,40,47,11.534701857282503,11
473,28,36,30,36,59,11.559139784946236,14
474,31,50,31,43,44,11.583577712609971,9
475,22,43,46,22,51,11.608015640273704,8
476,32,54,36,34,50,11.63245356793744,9
477,21,63,30,30,58,11.656891495601172,6
478,36,45,45,39,58,11.681329423264907,9
479,29,40,38,28,56,11.70576735092864,10
480,34,50,43,36,55,11.730205278592376,7
481,26,38,52,31,47,11.754643206256109,10
482,34,54,30,34,43,11.779081133919844,7
483,27,40,34,35,52,11.803519061583577,9
484,29,44,30,35,54,11.827956989247312,14
485,24,42,36,45,57,11.852394916911045,7
486,36,38,37,39,42,11.87683284457478,9
487,20,44,41,34,62,11.901270772238513,2
488,17,41,42,32,64,11.925708699902248,12
489,25,50,35,21,46,11.950146627565982,7
490,22,46,40,46,50,11.974584555229717,9
491,35,44,24,29,64,11.99902248289345,6
492,24,40,40,32,45,12.023460410557185,19
493,37,39,41,30,38,12.047898338220918,4
494,24,39,28,30,44,12.072336265884653,12
495,28,42,43,33,71,12.096774193548386,7
496,34,56,38,25,52,12.121212121212121,8
497,28,47,39,40,46,12.145650048875854,7
498,25,34,41,25,56,12.17008797653959,6
499,26,30,33,29,43,12.194525904203322,6
500,33,42,34,28,50,12.218963831867057,6
501,31,39,38,28,45,12.24340175953079,6
502,21,41,33,31,65,12.267839687194526,7
503,35,51,39,38,48,12.292277614858259,6
504,29,46,36,21,49,12.316715542521994,10
505,18,46,34,29,54,12.341153470185727,8
506,27,35,41,31,42,12.365591397849462,6
507,26,50,36,31,43,12.390029325513195,12
508,31,41,28,37,58,12.41446725317693,8
509,30,48,34,40,47,12.438905180840663,7
510,23,41,36,36,49,12.463343108504398,4
511,29,55,31,26,47,12.487781036168132,7
512,31,44,29,35,49,12.512218963831867,6
513,21,35,39,26,54,12.536656891495602,9
514,22,46,42,24,39,12.561094819159335,10
515,28,36,35,20,52,12.58553274682307,9
516,30,39,35,28,37,12.609970674486803,7
517,30,36,35,21,39,12.634408602150538,8
518,34,28,35,32,52,12.658846529814271,9
519,26,31,47,27,43,12.683284457478006,4
520,20,37,32,32,58,12.70772238514174,4
521,32,31,39,23,45,12.732160312805474,13
522,24,30,34,29,43,12.756598240469208,5
523,28,44,39,21,44,12.781036168132943,3
524,40,42,33,23,54,12.805474095796676,7
525,25,38,24,40,50,12.82991202346041,10
526,30,43,26,31,47,12.854349951124144,10
527,31,33,33,34,46,12.878787878787879,8
528,21,41,35,32,52,12.903225806451612,3
529,28,37,22,34,46,12.927663734115347,7
530,27,43,32,23,52,12.95210166177908,7
531,30,39,34,22,50,12.976539589442815,10
532,23,40,30,18,46,13.000977517106548,9
533,37,42,30,24,58,13.025415444770283,4
534,28,25,40,31,39,13.049853372434017,6
535,23,26,34,28,50,13.074291300097752,4
536,28,41,29,26,33,13.098729227761485,9
537,29,37,27,28,44,13.12316715542522,10
538,29,43,24,27,35,13.147605083088953,12
539,27,39,29,24,43,13.172043010752688,9
540,27,37,24,22,39,13.196480938416421,10
541,34,46,29,31,47,13.220918866080156,5
542,18,43,25,24,57,13.24535679374389,8
543,26,36,21,26,39,13.269794721407624,10
544,18,31,36,22,50,13.294232649071358,2
545,21,38,28,24,44,13.318670576735093,7
546,18,40,38,19,40,13.343108504398826,6
547,11,34,32,37,41,13.36754643206256,5
548,25,43,29,27,41,13.391984359726294,6
549,27,38,31,21,33,13.416422287390029,9
550,30,27,29,31,41,13.440860215053762,5
551,24,30,34,31,42,13.465298142717497,11
552,15,36,25,25,41,13.48973607038123,10
553,25,42,22,21,31,13.514173998044965,5
554,23,36,37,21,50,13.538611925708699,10
555,22,42,22,24,30,13.563049853372434,10
556,24,33,26,36,39,13.587487781036168,14
557,20,29,37,33,44,13.611925708699902,12
558,20,33,15,26,44,13.636363636363637,11
559,24,25,39,27,37,13.66080156402737,5
560,13,27,22,29,43,13.685239491691105,5
561,37,31,33,20,40,13.709677419354838,9
562,18,32,28,22,36,13.734115347018573,10
563,22,43,33,24,34,13.758553274682306,11
564,18,40,29,29,29,13.782991202346041,11
565,24,29,23,18,37,13.807429130009774,13
566,20,27,35,27,36,13.83186705767351,11
567,23,29,28,21,53,13.856304985337243,7
568,21,39,35,27,36,13.880742913000978,10
569,19,29,29,26,35,13.90518084066471,13
570,18,31,31,24,48,13.929618768328446,7
571,23,34,21,24,37,13.954056695992179,7
572,24,27,31,20,36,13.978494623655914,7
573,22,33,25,29,38,14.002932551319647,9
574,11,24,29,22,50,14.027370478983382,4
575,26,38,14,18,32,14.051808406647115,8
576,25,34,23,20,33,14.07624633431085,6
577,17,37,38,20,34,14.100684261974584,10
578,14,32,30,22,34,14.125122189638319,7
579,18,30,31,29,43,14.149560117302052,9
580,23,34,25,36,37,14.173998044965787,5
581,14,29,39,13,31,14.19843597262952,10
582,16,33,30,21,29,14.222873900293255,11
583,16,28,31,22,34,14.247311827956988,7
584,15,35,20,29,33,14.271749755620723,5
585,17,39,32,28,38,14.296187683284456,9
586,22,36,49,26,39,14.320625610948191,7
587,24,28,27,17,36,14.345063538611925,8
588,19,29,24,18,30,14.36950146627566,6
589,20,34,32,18,40,14.393939393939393,8
590,22,32,28,21,40,14.418377321603128,6
591,21,36,27,31,32,14.442815249266861,9
592,18,22,18,18,34,14.467253176930596,5
593,25,30,16,23,36,14.491691104594329,4
594,23,39,36,16,37,14.516129032258064,3
595,27,40,26,20,35,14.540566959921797,7
596,23,50,21,19,40,14.565004887585532,7
597,14,27,32,24,39,14.589442815249265,6
598,19,37,25,25,34,14.613880742913,11
599,21,28,20,24,30,14.638318670576735,8
600,23,22,17,17,30,14.662756598240469,6
601,20,25,33,19,39,14.687194525904204,15
602,20,28,26,29,33,14.711632453567937,8
603,16,30,20,13,38,14.736070381231672,11
604,17,24,27,25,29,14.760508308895405,4
605,23,34,30,23,30,14.78494623655914,6
606,17,26,31,25,43,14.809384164222873,7
607,20,31,28,23,43,14.833822091886608,10
608,8,30,19,23,30,14.858260019550341,14
609,16,31,29,29,39,14.882697947214076,15
610,21,35,28,19,30,14.90713587487781,9
611,18,25,22,18,41,14.931573802541545,6
612,13,27,21,27,35,14.956011730205278,10
613,16,18,13,22,33,14.980449657869013,6
614,19,28,33,26,35,15.004887585532746,8
615,18,33,17,28,40,15.029325513196481,4
616,23,23,22,26,30,15.053763440860214,10
617,19,28,14,19,35,15.078201368523949,12
618,21,40,32,27,30,15.102639296187682,7
619,7,24,19,29,19,15.127077223851417,3
620,20,27,22,23,29,15.15151515151515,4
621,17,11,26,20,38,15.175953079178885,8
622,12,29,25,16,30,15.200391006842619,9
623,24,34,30,24,29,15.224828934506354,8
624,17,24,18,22,31,15.249266862170087,9
625,14,24,25,17,20,15.273704789833822,10
